year,R,S,P,Shortfall,PopulationCovered
2005,1173,1560,1319,-146,49231
2006,922,922,811,111,62634
2007,922,922,811,111,62634
2008,924,816,810,114,62634
2009,922,1302,932,-10,62634
2010,909,1302,932,-23,63530
2011,909,1807,1006,-97,68442
2012,909,1807,1006,-97,68442
2013,909,2600,1781,-872,68408
2014,909,2600,711,198,68408
