year,R,S,P,Shortfall,Population Covered,per_1000
2005,19,56,53,-34,35636,1.49
2006,19,56,53,-34,35636,1.49
2007,19,46,46,-27,35636,1.29
2008,19,46,44,-25,35636,1.23
2009,19,46,44,-25,35636,1.23
2010,19,47,44,-25,35636,1.23
2011,19,46,41,-22,29022,1.41
2012,19,46,41,-22,29022,1.41
2013,21,48,56,-35,26273,2.13
2014,21,48,56,-35,26273,2.13
