year,R,S,P,Shortfall,PopulationCovered
2005,73,161,150,-77,36348
2006,73,161,152,-79,36349
2007,75,161,150,-75,35379
2008,76,0,255,-179,35147
2009,76,0,109,-33,34914
2010,79,0,104,-25,33588
2011,79,0,119,-40,34304
2012,79,0,119,-40,34304
2013,83,0,89,-6,32680
2014,84,0,160,-76,32291
