year,R,S,P,Shortfall,PopulationCovered
2005,95,113,103,-8,19628
2006,101,127,106,-5,18462
2007,103,127,106,-3,18104
2008,103,127,106,-3,17932
2009,105,128,128,-23,17759
2010,109,127,117,-8,17107
2011,109,127,104,5,21734
2012,109,127,104,5,21958
2013,108,128,114,-6,21958
2014,108,128,114,-6,21958
