year,R,S,P,Shortfall,PopulationCovered
2005,57,47,47,10,7852
2006,57,57,35,22,7852
2007,57,57,39,18,7852
2008,57,57,52,5,7852
2009,57,57,51,6,7852
2010,57,57,51,6,7852
2011,57,57,37,20,9281
2012,57,57,49,8,9281
2013,57,152,49,8,9218
2014,57,152,49,8,9218
