year,R,S,P,Shortfall,PopulationCovered
2005,933,1152,1152,-219,25267
2006,909,1345,1151,-242,25934
2007,909,1345,1558,-649,25934
2008,909,1345,1732,-823,29879
2009,697,959,1063,-366,33823
2010,813,1204,1122,-309,28997
2011,809,1204,1122,-313,21577
2012,809,984,1152,-343,21577
2013,820,1119,1168,-348,21306
2014,829,1119,1168,-339,21075
