year,R,S,P,Shortfall,PopulationCovered
2005,1194,1194,947,247,37169
2006,1192,1278,839,353,37232
2007,1149,1149,869,280,38626
2008,1149,1149,1042,107,38526
2009,1155,1155,541,614,38425
2010,1155,1155,541,614,38425
2011,1156,1238,814,342,45448
2012,1156,1238,814,342,45448
2013,1156,1658,999,157,45465
2014,1157,1658,999,158,45426
