year,R,S,P,Shortfall,PopulationCovered
2005,1679,2237,2062,-383,20779
2006,1679,2237,2041,-362,20780
2007,1679,2237,2041,-362,20780
2008,2195,3528,2814,-619,18345
2009,2193,3528,3146,-953,15909
2010,2193,3528,3198,-1005,15909
2011,2310,2310,2089,221,16257
2012,2310,2310,2089,221,16257
2013,2350,2310,2089,261,15944
2014,2233,2233,2155,78,16780
