year,mmr,,,,,,,
1997-98,131,167,134,111,,,,
1999-01,167,,,,,,,
2001-03,134,,,,,,,
2004-06,111,,,,,,,
2007-09,97,90,79,,,,,
2010-12,90,,,,,,,
2011-13,79,,,,,,,
