year,mmr,,,,,,,
1997-98,606,,,,,,,
1999-01,539,,,,,,,
2001-03,517,,,,,,,
2004-06,440,,,,,,,
2007-09,359,,,,,,,
2010-12,292,,,,,,,
2011-13,285,,,,,,,
