year,mmr,,,,,,,
1997-98,303,,,,,,,
1999-01,218,,,,,,,
2001-03,184,,,,,,,
2004-06,141,,,,,,,
2007-09,145,,,,,,,
2010-12,117,,,,,,,
2011-13,113,,,,,,,
