year,mmr,,,,,,,
1997-98,166,,,,,,,
1999-01,169,,,,,,,
2001-03,149,,,,,,,
2004-06,130,,,,,,,
2007-09,104,,,,,,,
2010-12,87,,,,,,,
2011-13,68,,,,,,,
