year,mmr,,,,,,,
1997-98,441,,,,,,,
1999-01,407,,,,,,,
2001-03,379,,,,,,,
2004-06,335,,,,,,,
2007-09,269,,,,,,,
2010-12,230,,,,,,,
2011-13,221,,,,,,,
