year,mmr,,,,,,,
1997-98,280,,,,,,,
1999-01,177,,,,,,,
2001-03,178,,,,,,,
2004-06,192,,,,,,,
2007-09,172,,,,,,,
2010-12,155,,,,,,,
2011-13,141,,,,,,,
