year,mmr,,,,,,,
1997-98,245,,,,,,,
1999-01,266,,,,,,,
2001-03,228,,,,,,,
2004-06,213,,,,,,,
2007-09,178,,,,,,,
2010-12,144,,,,,,,
2011-13,133,,,,,,,
