year,mmr,,,,,,,
1997-98,568,,,,,,,
1999-01,398,,,,,,,
2001-03,490,,,,,,,
2004-06,480,,,,,,,
2007-09,390,,,,,,,
2010-12,328,,,,,,,
2011-13,300,,,,,,,
