year,mmr,,,,,,,
1997-98,508,,,,,,,
1999-01,501,,,,,,,
2001-03,445,,,,,,,
2004-06,388,,,,,,,
2007-09,318,,,,,,,
2010-12,255,,,,,,,
2011-13,244,,,,,,,
