year,mmr,,,,,,,
1997-98,346,,,,,,,
1999-01,424,,,,,,,
2001-03,358,,,,,,,
2004-06,303,,,,,,,
2007-09,258,,,,,,,
2010-12,235,,,,,,,
2011-13,222,,,,,,,
