year,mmr,,,,,,,
1997-98,136,,,,,,,
1999-01,176,,,,,,,
2001-03,162,,,,,,,
2004-06,186,,,,,,,
2007-09,153,,,,,,,
2010-12,46,,,,,,,
2011-13,127,,,,,,,
