year,mmr,,,,,,,
1997-98,531,,,,,,,
1999-01,400,,,,,,,
2001-03,371,,,,,,,
2004-06,312,,,,,,,
2007-09,261,,,,,,,
2010-12,219,,,,,,,
2011-13,208,,,,,,,
