year,mmr,,,,,,,
1997-98,398,,,,,,,
1999-01,327,,,,,,,
2001-03,301,,,,,,,
2004-06,254,,,,,,,
2007-09,212,,,,,,,
2010-12,178,,,,,,,
2011-13,167,,,,,,,
