year,sub-centre,phc,chc
2005,3936,35636,135418
2006,3937,35636,135418
2007,3937,35636,135418
2008,3937,35636,135418
2009,3960,35636,135418
2010,3937,35636,135418
2011,3151,29022,110283
2012,2690,29022,110283
2013,2665,26273,137933
2014,2665,26273,137933
